stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
PG233,,PG233-Av. San Francisco / Esq. Julio Barrenechea,-33.582636,-70.662464,,0
PG159,,PG159-Av. San Francisco / Esq. Sgto. D. Rebolledo,-33.580345,-70.661832,,0
PG160,,PG160-Av. San Francisco / Esq. Bernardino Parada,-33.577355,-70.661023,,0
PG161,,PG161-Av. San Francisco / Esq. Río Loa,-33.575546,-70.660565,,0
PG628,,PG628-Lo Martínez / Esq. Los Andes,-33.573167,-70.663068,,0
PG629,,PG629-Parada / Cesfam Haydée López,-33.572491,-70.666977,,0
PG630,,PG630-Los Raulíes / Esq. El Libertador,-33.570114,-70.667376,,0
PG631,,PG631-Los Raulíes / Esq. Los Avellanos,-33.568376,-70.666914,,0
PG632,,PG632-Los Raulíes / Esq. Santa Elena,-33.565434,-70.666164,,0
PG633,,PG633-Los Raulíes / Esq. Antonio Varas,-33.563250,-70.665659,,0
PG634,,PG634-Los Raulíes / Esq. Av. Observatorio,-33.561329,-70.665229,,0
PG635,,PG635-Av. Observatorio / Esq. Los Avellanos,-33.561224,-70.664650,,0
PG636,,PG636-Av. Observatorio / Esq. Los Mimbres,-33.561579,-70.662390,,0
PG1239,,PG1239-Av. Observatorio / Esq. Los Pinares,-33.562085,-70.659350,,0
PG1240,,PG1240-Av. Observatorio / Esq. San Francisco,-33.562447,-70.657122,,0
PG312,,PG312-Av. San Francisco / Esq. Los Gorriones,-33.562081,-70.656665,,0
PG313,,PG313-Av. San Francisco / Esq. Violeta Parra,-33.559969,-70.656161,,0
PG1083,,PG1083-Violeta Parra / Esq. Las Bandurrias,-33.560085,-70.652532,,0
PG1084,,PG1084-Violeta Parra / Esq. Fco. De Goya,-33.560288,-70.650080,,0
PG1085,,PG1085-Violeta Parra / Esq. Av. La Bandera,-33.560368,-70.648459,,0
PG334,,PG334-Violeta Parra / Esq. A. Latorre,-33.560468,-70.646584,,0
PG104,,PG104-Almirante Latorre / Esq. Celanova,-33.559307,-70.646094,,0
PG105,,PG105-Almirante Latorre / Esq. Venancia Leiva,-33.556482,-70.645487,,0
PG106,,PG106-Venancia Leiva / Esq. El Nogal,-33.556879,-70.642040,,0
PG107,,PG107-Venancia Leiva / Esq. P. Aguirre Cerda,-33.557445,-70.637778,,0
