Comuna;TOTAL
SANTIAGO;16
SANTIAGO;102
SANTIAGO;6
SANTIAGO;98
SANTIAGO;10
SANTIAGO;22
SANTIAGO;11
SANTIAGO;2
SANTIAGO;196
SANTIAGO;20
SANTIAGO;5
SANTIAGO;87
SANTIAGO;237
SANTIAGO;4
SANTIAGO;92
SANTIAGO;194
SANTIAGO;2
SANTIAGO;77
SANTIAGO;152
SANTIAGO;14
SANTIAGO;1
SANTIAGO;126
SANTIAGO;77
SANTIAGO;102
SANTIAGO;2
SANTIAGO;3
SANTIAGO;4
SANTIAGO;1
SANTIAGO;1
SANTIAGO;4
SANTIAGO;12
SANTIAGO;13
SANTIAGO;9
SANTIAGO;114
SANTIAGO;23
SANTIAGO;3
SANTIAGO;67
SANTIAGO;30
SANTIAGO;75
SANTIAGO;217
SANTIAGO;2
SANTIAGO;16
SANTIAGO;86
SANTIAGO;418
SANTIAGO;28
SANTIAGO;3
SANTIAGO;12
SANTIAGO;10
SANTIAGO;75
SANTIAGO;12
SANTIAGO;45
SANTIAGO;14
SANTIAGO;26
SANTIAGO;18
SANTIAGO;111
SANTIAGO;272
SANTIAGO;84
SANTIAGO;39
SANTIAGO;118
SANTIAGO;137
SANTIAGO;178
SANTIAGO;332
SANTIAGO;6
SANTIAGO;99
SANTIAGO;14
SANTIAGO;24
SANTIAGO;17
SANTIAGO;214
SANTIAGO;2
SANTIAGO;1
SANTIAGO;17
SANTIAGO;10
SANTIAGO;199
SANTIAGO;120
SANTIAGO;8
SANTIAGO;4
SANTIAGO;484
SANTIAGO;2
SANTIAGO;44
SANTIAGO;2
SANTIAGO;1
SANTIAGO;49
SANTIAGO;17
SANTIAGO;17
SANTIAGO;29
SANTIAGO;2
SANTIAGO;4
SANTIAGO;4
SANTIAGO;1
SANTIAGO;96
SANTIAGO;9
SANTIAGO;43
SANTIAGO;87
SANTIAGO;7
SANTIAGO;30
SANTIAGO;472
SANTIAGO;570
SANTIAGO;8
SANTIAGO;2
SANTIAGO;2
SANTIAGO;5
SANTIAGO;14
SANTIAGO;18
SANTIAGO;22
SANTIAGO;2
SANTIAGO;1
